array_id,steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
0,3,0.0001,372.9739639759064,2061,True,11.531841838146121,11.531841838146121,656
1,3,0.0001,288.34769320487976,280,False,4.79767763840469,10.135482615902273,145
2,3,0.0001,159.28048586845398,601,True,10.408293017675362,11.067052527703606,313
3,3,0.0001,505.8911769390106,95,False,10.592347769499794,1.1786652749304802,1640
4,3,0.0001,346.1751527786255,115,False,16.351329800903056,32.70265960180611,174
5,3,0.0001,144.68298292160034,293,False,7.015732974626147,7.015732974626147,260
6,3,0.0001,444.5814299583435,211,False,8.865328920887457,24.07239820476417,249
7,3,0.0001,420.17075514793396,101,False,10.876939194053232,15.117309566015802,460
8,3,0.0001,744.1507360935211,346,False,7.52544855114458,12.688567641723912,238
9,3,0.0001,466.2622740268707,362,False,6.771884551538916,10.128719198903513,258
10,3,0.0001,537.6501529216766,364,False,9.36642439337583,13.542096401457876,312
11,3,0.0001,364.33409214019775,859,True,5.763460361100241,9.430723826879323,273
12,3,0.0001,517.223326921463,292,False,6.747338386496936,6.166582502873403,447
13,3,0.0001,344.6596591472626,143,False,11.854375002548004,11.854375002548004,1022
14,3,0.0001,534.2084920406342,151,False,6.188920995282521,5.060548744818707,136
15,3,0.0001,553.7822198867798,305,False,6.995437713198868,13.323977254687726,224
16,3,0.0001,566.2699809074402,472,True,12.120799734081803,21.12008704960956,198
17,3,0.0001,362.784991979599,557,True,4.161710027271481,4.161710027271481,308
18,3,0.0001,567.8090207576752,354,False,4.614868503178576,11.513755778140125,116
19,3,0.0001,420.8792576789856,260,False,7.093699648272111,7.413602875988107,210
20,3,0.0001,339.3344187736511,401,False,3.1310681204466966,7.349958811037083,258
21,3,0.0001,423.14882802963257,694,False,6.690400067111552,13.252858227745074,228
22,3,0.0001,347.3696599006653,286,False,6.771701575192436,4.858243510305996,221
23,3,0.0001,258.27007389068604,316,False,3.625408254753477,7.76942226754741,387
24,3,0.0001,326.3432831764221,285,False,1.7811625454141127,3.47627030886273,490
25,3,0.0001,255.567125082016,757,True,4.325131476676338,5.592377247589637,501
26,3,0.0001,297.1297688484192,809,True,3.713754803421203,3.713754803421203,284
27,3,0.0001,332.73364996910095,534,True,8.597099609724689,12.273274585876415,310
28,3,0.0001,744.9747610092163,517,False,14.69601009087123,70.04275893270803,316
29,3,0.0001,630.220293045044,98,False,8.0787286272809,8.0787286272809,1737
30,3,0.0001,404.75951504707336,535,False,10.466815969753727,13.006337630747547,253
31,3,0.0001,488.99809527397156,137,False,12.730892876502343,39.530893975464835,153
32,3,0.0001,333.3198347091675,903,True,12.958493846940186,12.958493846940186,238
33,3,0.0001,372.2461700439453,785,True,8.846278714782033,15.942509290658569,397
34,3,0.0001,352.06505393981934,167,False,8.495600183475414,0,295
35,3,0.0001,171.1029999256134,232,False,6.8586407557214155,10.166313487354799,239
36,3,0.0001,679.4035398960114,550,True,10.052627889651655,10.052627889651655,279
37,3,0.0001,485.70745182037354,158,False,3.5753333337250637,3.6814647113047005,212
38,3,0.0001,320.78846073150635,356,False,8.853366519614582,6.803634075133627,194
39,3,0.0001,272.061509847641,131,False,8.247657149546324,12.72639481971596,213
40,3,0.0001,415.0267119407654,642,False,8.443303200625039,12.132706743530647,156
41,3,0.0001,357.66945815086365,331,False,5.665303670595755,10.629231824430306,499
42,3,0.0001,705.2619278430939,486,False,7.868659034958549,4.004917815271389,254
0,3,0.0001,312.45034313201904,135,False,11.531841838146121,7.948764163579699,594
1,3,0.0001,275.37733721733093,391,False,4.79767763840469,8.968363758565545,228
2,3,0.0001,237.1320149898529,255,False,10.408293017675362,0,140
3,3,0.0001,340.47209191322327,444,True,10.592347769499794,19.118537050740137,239
4,3,0.0001,318.3702390193939,1984,True,16.351329800903056,17.38887658762911,1971
5,3,0.0001,252.0355188846588,182,False,7.015732974626147,7.015732974626147,309
6,3,0.0001,351.7540616989136,296,False,8.865328920887457,24.07239820476417,328
7,3,0.0001,558.7161710262299,329,False,10.876939194053232,19.3350773464819,227
8,3,0.0001,501.2672438621521,5731,True,7.52544855114458,7.97384428020138,5730
