array_id,steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
0,3,0.0001,574.6165668964386,175,False,11.531841838146121,7.948764163579699,160
1,3,0.0001,267.6675260066986,322,False,4.79767763840469,1.8152793905339812,155
2,3,0.0001,205.84192514419556,233,False,10.408293017675362,5.621574731038198,193
3,3,0.0001,223.133770942688,1665,True,10.592347769499794,10.592347769499794,634
4,3,0.0001,215.72481775283813,89,False,16.351329800903056,17.38887658762911,348
5,3,0.0001,607.0283441543579,466,False,7.015732974626147,14.031465949252292,327
6,3,0.0001,245.64783906936646,341,False,8.865328920887457,24.07239820476417,230
7,3,0.0001,460.6205198764801,433,False,10.876939194053232,10.854336602556762,261
8,3,0.0001,515.8563241958618,225,False,7.52544855114458,3.259120918678848,289
9,3,0.0001,163.85022711753845,348,False,6.771884551538916,2.837201597702131,261
10,3,0.0001,517.1128787994385,272,False,9.36642439337583,13.029694321464264,228
11,3,0.0001,417.67852091789246,579,True,5.763460361100241,5.763460361100241,253
12,3,0.0001,435.052992105484,131,False,6.747338386496936,13.347002945256762,343
13,3,0.0001,228.71413731575012,168,False,11.854375002548004,4.799814837926094,343
14,3,0.0001,503.3158631324768,1986,True,6.188920995282521,7.36066093028208,527
15,3,0.0001,455.37379479408264,605,True,6.995437713198868,13.323977254687726,301
16,3,0.0001,207.77163696289062,313,False,12.120799734081803,24.19652313240708,311
17,3,0.0001,422.63380098342896,191,False,4.161710027271481,8.006019792498515,148
18,3,0.0001,213.42838978767395,204,False,4.614868503178576,7.697419125810921,318
19,3,0.0001,199.45821070671082,217,False,7.093699648272111,10.423085441584458,274
20,3,0.0001,201.01125502586365,142,False,3.1310681204466966,4.606638729112105,117
21,3,0.0001,224.44853806495667,490,False,6.690400067111552,13.252858227745076,378
22,3,0.0001,197.10678601264954,445,True,6.771701575192436,9.139309765486416,184
23,3,0.0001,191.76581597328186,157,False,3.625408254753477,8.998037382381819,532
24,3,0.0001,355.80763387680054,368,True,1.7811625454141127,2.9492363203742054,155
25,3,0.0001,377.5589118003845,227,False,4.325131476676338,9.733332862626373,159
26,3,0.0001,360.3575351238251,213,False,3.713754803421203,7.053046320332383,158
27,3,0.0001,473.9897708892822,1076,True,8.597099609724689,10.050485425598135,1055
28,3,0.0001,430.98928928375244,870,True,14.69601009087123,19.303411440817882,849
29,3,0.0001,403.83753204345703,83,False,8.0787286272809,4.4831500916846085,1176
30,3,0.0001,220.957200050354,679,True,10.466815969753727,10.466815969753727,475
31,3,0.0001,201.7770962715149,302,False,12.730892876502343,26.43120102025059,180
32,3,0.0001,195.236820936203,812,False,12.958493846940186,30.965997267617453,341
33,3,0.0001,487.253919839859,286,False,8.846278714782033,7.115028489292973,133
34,3,0.0001,204.75731992721558,459,False,8.495600183475414,8.495600183475414,159
35,3,0.0001,198.1658239364624,328,False,6.8586407557214155,12.188111127885062,861
36,3,0.0001,206.83739495277405,188,False,10.052627889651655,18.817490763349173,193
37,3,0.0001,188.3609540462494,145,False,3.5753333337250637,1.70935701622337,145
38,3,0.0001,195.21109199523926,231,False,8.853366519614582,12.391082100053122,142
39,3,0.0001,508.1406059265137,854,True,8.247657149546324,8.247657149546324,585
40,3,0.0001,575.9729909896851,260,False,8.443303200625039,3.933229571377362,1334
41,3,0.0001,258.54405784606934,145,False,5.665303670595755,14.36395303953914,106
42,3,0.0001,446.00312399864197,2055,True,7.868659034958549,7.868659034958549,701
43,3,0.0001,200.7834987640381,380,False,5.312832389409001,0.28517706376420443,945
44,3,0.0001,434.5124661922455,314,False,10.282279854679185,5.7281510692095265,158
45,3,0.0001,203.15050864219666,163,False,7.761358764644074,9.894395872977386,134
46,3,0.0001,228.9291331768036,458,False,7.800102126435672,7.798908531935992,629
47,3,0.0001,230.27951502799988,247,False,9.8441233010235,7.030207053756412,200
48,3,0.0001,198.4134738445282,174,False,7.195286835400254,7.195286835400254,302
49,3,0.0001,462.1420569419861,227,False,5.759910466133199,15.9221640396911,319
50,3,0.0001,450.9152729511261,112,False,9.248502228791061,17.977301528413864,219
51,3,0.0001,494.6004979610443,436,False,11.769976627568973,39.270192418498695,217
52,3,0.0001,198.40625405311584,245,False,5.0151515993620865,0,318
53,3,0.0001,557.7167339324951,2832,True,6.540949928031271,6.540949928031271,2800
54,3,0.0001,435.50786685943604,253,False,9.803864645992999,7.421491830290649,207
55,3,0.0001,491.0553162097931,521,True,7.591169674939911,7.975790876416548,446
56,3,0.0001,517.4756920337677,570,True,8.019056962434059,12.469133812674798,478
57,3,0.0001,210.8922770023346,128,False,9.309159511558297,24.79945453801566,268
58,3,0.0001,200.462739944458,131,False,9.471847840683957,3.770084596767004,413
59,3,0.0001,309.2261712551117,153,False,8.734401048423033,0,184
60,3,0.0001,274.3765161037445,102,False,13.420129554821617,6.254309691118556,245
61,3,0.0001,199.67882418632507,171,False,12.637976722066668,25.64093597920264,229
62,3,0.0001,263.6020050048828,174,False,17.114677109765164,7.599271894415531,294
63,3,0.0001,547.3230030536652,494,True,12.480890545937255,16.11091524207522,410
64,3,0.0001,629.9249448776245,864,True,4.112333871029128,4.28209529251393,258
65,3,0.0001,218.0897397994995,283,False,9.291583590977673,20.146083664490888,204
66,3,0.0001,632.847470998764,393,False,10.802538103521332,14.273174165616918,501
67,3,0.0001,287.97335600852966,147,False,5.4115270894415355,3.8603869331468297,342
68,3,0.0001,186.59610319137573,306,False,6.802563357182309,5.982230890724826,256
69,3,0.0001,440.85496401786804,368,False,13.478791278721257,15.455245711052761,407
70,3,0.0001,454.4516489505768,1243,True,11.276759895512107,11.790759445652252,1225
71,3,0.0001,221.46781992912292,1804,True,5.85207587174973,5.85207587174973,405
72,3,0.0001,576.337240934372,1245,False,8.001835887974982,8.606369766314259,315
73,3,0.0001,290.64487290382385,468,False,5.740668961978416,28.637459656202786,248
74,3,0.0001,206.01330399513245,332,False,7.297358847384954,15.657505915315248,262
75,3,0.0001,187.60881805419922,271,False,10.824015796346227,9.15986054276558,325
76,3,0.0001,466.66842699050903,424,False,8.166329200481755,8.34979616442355,553
77,3,0.0001,402.3882191181183,699,True,4.749388692709377,4.749388692709377,428
78,3,0.0001,521.3095529079437,244,False,10.23922960711119,7.952967490550412,336
79,3,0.0001,462.04416584968567,288,True,8.255618409954955,12.84970209795581,163
80,3,0.0001,184.91526913642883,274,False,7.7968424632957625,4.34163991469073,133
81,3,0.0001,430.90138006210327,238,False,4.19666801656313,7.986207716104512,587
82,3,0.0001,384.3922140598297,150,False,4.255047704731742,8.184977504816043,170
83,3,0.0001,216.67266702651978,236,False,5.883838735077749,0.0,236
84,3,0.0001,445.97664308547974,101,False,13.33849824516916,12.282106025788146,239
85,3,0.0001,199.90848398208618,202,False,8.24600442543586,22.6909482743948,229
86,3,0.0001,232.21754598617554,96,False,10.10405224706779,20.524119303338157,293
87,3,0.0001,245.3677258491516,384,False,13.658937861780563,24.512775829343607,231
88,3,0.0001,432.32710886001587,141,False,13.165747714717549,7.615974106465443,218
89,3,0.0001,315.1343102455139,538,False,11.381615994329756,6.199838082888737,291
90,3,0.0001,214.25710487365723,196,False,11.339003306508376,23.092801441883754,155
91,3,0.0001,441.8666799068451,465,False,8.484507508374884,4.447714431108982,372
92,3,0.0001,197.95369386672974,236,False,12.725596555466382,7.909163017396121,132
93,3,0.0001,502.34382581710815,730,True,11.995755557055336,12.71593971673118,257
94,3,0.0001,502.70244002342224,146,False,8.241240552516135,0.0,757
95,3,0.0001,482.13716888427734,531,False,15.80509158789415,18.02006645383773,260
96,3,0.0001,253.91953778266907,200,False,8.450011597593782,3.4219913258462933,363
97,3,0.0001,463.87575912475586,434,False,4.9929534619673195,9.185110929112017,148
98,3,0.0001,511.1272780895233,1025,True,3.4839205442269714,5.845460544461778,299
99,3,0.0001,809.0680019855499,662,False,7.444305783184147,4.048985185783555,260
100,3,0.0001,537.8522732257843,247,False,6.5573639226203095,9.975794172967102,461
101,3,0.0001,250.52883005142212,200,False,7.602945324977714,17.857891188320437,135
102,3,0.0001,283.0783429145813,278,False,5.025238400198773,2.350208544349738,250
0,3,0.0001,267.8570787906647,362,False,11.531841838146121,18.401260219488815,257
1,3,0.0001,500.63496708869934,304,False,4.79767763840469,1.8152793905339812,267
2,3,0.0001,464.2150089740753,513,True,10.408293017675362,11.067052527703606,349
