,const_to_cost,chain_to_cost,cost,percentile,relative_error
368,30,6,9.326616030558514,15.0,0.1231632477820902
369,30,6,10.481002271483302,69.16666666666667,0.2621808931213934
370,30,6,9.788535954196782,33.88888888888889,0.1787902275943752
371,30,6,9.765598736733374,32.5,0.17602799962477986
372,30,6,8.455464691060973,0.8333333333333334,0.018254332847250452
373,30,6,9.463092153506953,19.02777777777778,0.1395984655495249
374,30,6,10.338623796351051,60.55555555555555,0.24503488110376093
375,30,8,8.701844385437951,2.7777777777777777,0.047924753160183006
376,30,8,9.501924129288788,21.666666666666668,0.1442748291838827
377,30,8,9.604181232019156,24.305555555555554,0.15658920121711728
378,30,8,8.988535449567562,6.388888888888888,0.08244969400077157
379,30,8,9.634009671534171,26.666666666666668,0.16018130867519062
380,30,8,10.528477736292704,71.38888888888889,0.26789815403045
381,30,8,8.981312021770577,6.111111111111111,0.08157980843906314
382,30,8,8.879826571230323,3.888888888888889,0.06935836307689196
383,30,8,9.49213173827954,21.38888888888889,0.14309557470900522
384,30,8,11.74937999462659,98.33333333333333,0.4149260300791501
385,40,2,10.070924218639785,47.77777777777778,0.21279700123962397
386,40,2,9.501924129288788,21.666666666666668,0.1442748291838827
387,40,2,10.085954576653409,48.61111111111111,0.2146070409867945
388,40,2,9.402213518885114,16.666666666666664,0.13226711999414145
389,40,2,10.614978882935857,75.55555555555556,0.2783151057396521
390,40,2,10.766988033534519,82.63888888888889,0.2966208975423373
391,40,2,10.693436680720264,79.16666666666666,0.28776343240868607
392,40,2,10.366978473491052,61.66666666666667,0.2484495098567867
393,40,2,9.952754575959073,43.888888888888886,0.198566352178094
394,40,2,9.650792296523754,27.77777777777778,0.16220236620858194
395,40,4,9.910372755675663,41.66666666666667,0.19346249642157254
396,40,4,8.701844385437953,3.0555555555555554,0.04792475316018322
397,40,4,10.226736018154272,54.72222222222223,0.2315607292854737
398,40,4,10.821414178717355,85.83333333333333,0.30317519824341943
399,40,4,9.548407157383773,23.333333333333332,0.14987257531504647
400,40,4,10.03577753001275,45.83333333333333,0.2085644404889952
401,40,4,9.195589760111927,10.277777777777777,0.10738433172321288
402,40,4,8.787286984050176,3.0555555555555554,0.058214228597127896
403,40,4,10.743041928800658,80.83333333333333,0.29373717372691577
404,40,4,8.69212571438139,2.7777777777777777,0.046754376454178626
405,40,6,10.056640391313953,46.94444444444444,0.21107686289175215
406,40,6,10.743808759986184,81.25,0.29382951982565236
407,40,6,9.6789938945623,28.749999999999996,0.1655985603203408
408,40,6,10.669906334395815,78.05555555555556,0.2849297765454434
409,40,6,8.455464691060975,1.1111111111111112,0.018254332847250667
410,40,6,9.553721363206652,23.47222222222222,0.15051254169211728
411,40,6,10.669906334395817,78.33333333333333,0.2849297765454436
412,40,6,11.257197439707408,93.88888888888889,0.3556546550087633
413,40,6,9.061445677238723,7.361111111111112,0.09122995126014201
414,40,6,10.407784753525522,64.58333333333334,0.25336363024763936
415,40,8,10.788825026630136,84.16666666666667,0.29925063034217675
416,40,8,10.688122474897385,79.02777777777777,0.28712346603161526
417,40,8,9.143810781783785,9.166666666666666,0.10114881765516001
418,40,8,9.240584843911144,10.833333333333334,0.11280289128314033
419,40,8,9.834260676453551,36.25,0.18429665429679112
420,40,8,9.606150017002859,24.444444444444443,0.156826293312389
421,40,8,11.257197439707408,93.88888888888889,0.3556546550087633
422,40,8,10.883131675566814,87.5,0.3106075642783561
423,40,8,11.75556428548871,98.61111111111111,0.4156707769613171
424,50,2,10.056640391313952,46.666666666666664,0.21107686289175193
425,50,2,10.299101228202195,57.91666666666667,0.24027535247544454
426,50,2,10.614978882935857,75.55555555555556,0.2783151057396521
427,50,2,9.307771496832983,13.055555555555557,0.12089388367052412
