,capacity_constant,cost,percentile,relative_error
0,2,12.765365035251861,83.9506172839506,0.2849461639825407
1,2,11.896965150886793,43.20987654320987,0.19753408472461598
2,2,12.826120563071683,86.41975308641975,0.2910617417350945
3,2,11.043009663752425,9.876543209876543,0.1115759609753175
4,2,12.765365035251861,83.9506172839506,0.2849461639825407
5,2,13.31003070694492,96.29629629629629,0.3397715499830407
6,2,14.098058150334014,100.0,0.4190934367994021
7,2,12.20902476949842,60.49382716049383,0.22894562750161843
8,2,12.765365035251861,83.9506172839506,0.2849461639825407
9,2,11.110443450235557,9.876543209876543,0.11836376414624412
10,4,12.765365035251861,83.9506172839506,0.2849461639825407
11,4,11.251434677641805,13.580246913580247,0.13255577011791467
12,4,12.76536503525186,83.9506172839506,0.2849461639825405
13,4,12.82612056307168,86.41975308641975,0.29106174173509414
14,4,11.693241367937727,32.098765432098766,0.17702749578732213
15,4,12.826120563071683,86.41975308641975,0.2910617417350945
16,4,12.765365035251858,83.9506172839506,0.28494616398254036
17,4,12.765365035251861,83.9506172839506,0.2849461639825407
18,4,11.76067515442086,34.5679012345679,0.18381529895824875
19,4,12.357660990952615,66.66666666666666,0.24390716930312628
20,6,12.918209913392309,87.65432098765432,0.3003313440622792
21,6,13.560465474885367,100.0,0.3649800100234932
22,6,10.64391671339436,2.4691358024691357,0.07140374856941092
23,6,12.918209913392307,87.65432098765432,0.30033134406227896
24,6,12.765365035251861,83.9506172839506,0.2849461639825407
25,6,11.915854300656694,43.20987654320987,0.19943544363371882
26,6,13.31003070694492,96.29629629629629,0.3397715499830407
27,6,12.76536503525186,83.9506172839506,0.2849461639825405
28,6,13.032782770269023,90.12345679012346,0.31186410889381383
29,6,12.765365035251858,83.9506172839506,0.28494616398254036
30,2,12.821485671597383,65.4320987654321,0.23529023071804236
31,2,12.821485671597383,65.4320987654321,0.23529023071804236
32,2,10.924115337944732,3.7037037037037033,0.05248746532499365
33,2,12.821485671597383,65.4320987654321,0.23529023071804236
34,2,12.94389075341153,75.30864197530865,0.2470833883620286
35,2,12.462816406867715,46.913580246913575,0.20073412309309946
36,2,12.821485671597383,65.4320987654321,0.23529023071804236
37,2,12.821485671597383,65.4320987654321,0.23529023071804236
38,2,12.94389075341153,75.30864197530865,0.2470833883620286
39,2,12.943890753411532,75.30864197530865,0.24708338836202876
40,4,12.821485671597383,65.4320987654321,0.23529023071804236
41,4,10.924115337944734,3.7037037037037033,0.05248746532499382
42,4,11.976238807467801,12.345679012345679,0.15385464512772998
43,4,12.94389075341153,75.30864197530865,0.2470833883620286
44,4,12.997977512061347,75.30864197530865,0.252294394814996
45,4,11.540160028478748,6.172839506172839,0.1118404925321426
46,4,12.821485671597383,65.4320987654321,0.23529023071804236
47,4,10.924115337944732,3.7037037037037033,0.05248746532499365
