steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
1,0.01,22.164424896240234,94,False,14.0,14.0,321
2,0.01,60.32844305038452,94,False,14.0,7.0,185
2,0.001,183.52429580688477,1543,True,14.0,14.0,590
2,0.001,204.8984022140503,995,True,14.0,21.0,181
1,0.001,86.6262412071228,748,True,14.0,14.0,438
3,0.001,346.60367584228516,423,False,14.0,14.0,201
2,0.0001,158.9415888786316,504,True,14.0,14.0,299
3,0.01,319.1843979358673,3603,True,14.0,21.0,658
1,0.0001,59.389599084854126,917,True,14.0,14.0,590
1,0.001,51.61012411117554,747,True,14.0,14.0,450
2,0.01,68.4315619468689,484,True,14.0,14.0,234
1,0.001,32.08645296096802,1887,True,14.0,14.0,343
3,0.001,251.90154671669006,1181,True,14.0,14.0,1087
3,0.01,121.77925992012024,592,True,14.0,14.0,449
3,0.001,220.06429505348206,304,False,14.0,14.0,304
2,0.0001,252.2554590702057,1026,True,14.0,14.0,571
3,0.0001,625.7537357807159,1710,True,14.0,14.0,550
1,0.01,26.46542000770569,144,False,14.0,14.0,253
1,0.0001,62.57569694519043,765,True,14.0,14.0,458
1,0.01,35.62974214553833,239,False,14.0,14.0,146
1,0.001,30.612998008728027,1336,True,14.0,21.0,242
1,0.01,34.20564889907837,221,False,14.0,0.0,127
3,0.0001,370.2790970802307,967,True,14.0,14.0,543
1,0.01,23.186393976211548,172,False,14.0,14.0,172
1,0.01,34.78122115135193,255,False,14.0,0.0,139
1,0.0001,72.79740500450134,445,True,14.0,14.0,249
1,0.01,23.96902108192444,224,False,14.0,14.0,150
2,0.0001,237.76979088783264,735,True,14.0,14.0,341
2,0.01,110.30395603179932,2026,True,14.0,21.0,385
3,0.0001,342.9938519001007,1202,True,14.0,14.0,393
1,0.001,47.452444076538086,894,True,14.0,14.0,671
3,0.0001,359.2908728122711,978,True,14.0,14.0,934
3,0.0001,741.1739709377289,2068,True,14.0,21.0,378
3,0.01,113.73755598068237,247,False,14.0,14.0,281
1,0.0001,59.20379185676575,650,True,14.0,14.0,368
1,0.0001,51.969006061553955,397,False,14.0,70.0,160
2,0.01,76.71673393249512,263,False,14.0,14.0,629
2,0.01,190.52782893180847,3216,True,14.0,14.0,3192
1,0.001,34.44681787490845,346,False,14.0,42.0,241
3,0.0001,302.7090210914612,455,False,14.0,42.0,216
3,0.01,124.41154527664185,219,False,14.0,14.0,486
3,0.001,522.7053587436676,1218,True,14.0,21.0,282
2,0.001,130.72099494934082,1334,True,14.0,21.0,280
1,0.01,38.645241022109985,220,False,14.0,21.0,108
2,0.0001,240.22240567207336,2383,True,14.0,21.0,496
2,0.0001,237.28252911567688,391,False,14.0,14.0,188
1,0.01,44.936923027038574,927,True,14.0,14.0,706
3,0.01,115.18795800209045,2698,True,14.0,21.0,577
1,0.001,39.10899305343628,2100,True,14.0,21.0,387
2,0.0001,203.97971892356873,609,True,14.0,14.0,400
2,0.01,97.26975321769714,557,False,14.0,28.0,157
1,0.001,63.6067008972168,209,False,14.0,14.0,137
2,0.01,60.40040111541748,664,True,14.0,14.0,402
1,0.01,41.81834697723389,443,True,14.0,14.0,264
2,0.01,70.22469806671143,1302,True,14.0,14.0,362
2,0.01,56.19198703765869,301,False,14.0,7.0,314
2,0.0001,85.61952376365662,793,True,14.0,14.0,506
2,0.001,285.35484290122986,1244,True,14.0,21.0,294
2,0.0001,181.90640878677368,206,False,14.0,7.0,101
2,0.0001,159.9296100139618,1832,False,14.0,70.0,581
3,0.0001,322.6097300052643,3449,True,14.0,14.0,3413
3,0.001,295.5496280193329,279,False,14.0,14.0,141
1,0.001,99.6401641368866,244,False,14.0,14.0,282
2,0.0001,75.88733386993408,570,True,14.0,14.0,249
3,0.01,134.112478017807,1425,True,14.0,14.0,489
2,0.0001,218.85479021072388,514,False,14.0,14.0,147
3,0.0001,310.5791349411011,363,False,14.0,21.0,207
3,0.001,271.4847958087921,347,False,14.0,14.0,269
2,0.001,77.1353280544281,850,True,14.0,14.0,248
2,0.01,127.42269706726074,3535,True,14.0,21.0,632
3,0.01,128.91823291778564,272,False,14.0,28.0,217
3,0.0001,600.2540240287781,2478,True,14.0,21.0,460
3,0.01,120.08406329154968,527,True,14.0,14.0,185
1,0.01,37.06378698348999,133,False,14.0,14.0,336
2,0.0001,133.6738748550415,269,False,14.0,14.0,315
3,0.0001,139.97764682769775,213,False,14.0,28.0,280
2,0.01,70.23641800880432,262,False,14.0,14.0,187
2,0.01,109.83579087257385,1437,True,14.0,14.0,359
1,0.01,36.29063701629639,752,True,14.0,14.0,450
1,0.0001,42.655717849731445,434,False,14.0,70.0,233
1,0.001,24.85404896736145,255,False,14.0,0.0,123
3,0.0001,324.6816940307617,4220,True,14.0,14.0,4202
1,0.01,34.90475583076477,2026,True,14.0,21.0,386
