steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
2,0.001,103.5141429901123,200,False,14.0,14.0,281
3,0.0001,622.8423447608948,372,False,14.0,21.0,194
2,0.01,69.58443999290466,222,False,14.0,21.0,323
1,0.0001,42.99987602233887,156,False,14.0,14.0,231
2,0.001,103.98644018173218,1019,True,14.0,14.0,650
3,0.0001,387.66567969322205,694,True,14.0,21.0,195
3,0.01,437.87364625930786,298,False,14.0,14.0,232
1,0.01,33.199363231658936,852,True,14.0,14.0,526
2,0.0001,253.9552550315857,1339,True,14.0,14.0,306
2,0.0001,140.23877668380737,2061,True,14.0,21.0,392
2,0.0001,164.7858850955963,897,True,14.0,14.0,570
3,0.01,210.5152931213379,344,False,14.0,0.0,255
3,0.001,226.60840892791748,311,False,14.0,14.0,155
1,0.01,32.21146488189697,83,False,14.0,14.0,349
2,0.001,79.22307991981506,264,False,14.0,14.0,298
2,0.01,113.11879301071167,1344,True,14.0,14.0,266
2,0.0001,246.95100212097168,225,False,14.0,14.0,208
3,0.01,89.49582505226135,497,True,14.0,14.0,377
3,0.001,189.58222603797913,348,False,14.0,14.0,181
2,0.001,130.6888451576233,1181,True,14.0,14.0,1020
3,0.001,237.3864026069641,47,False,14.0,14.0,373
2,0.01,151.01418328285217,1584,True,14.0,14.0,848
1,0.001,40.701205015182495,423,False,14.0,70.0,192
3,0.0001,347.53318095207214,649,True,14.0,14.0,416
3,0.01,103.8171739578247,194,False,14.0,14.0,509
2,0.001,151.33932209014893,3304,True,14.0,21.0,631
2,0.01,92.66923379898071,636,False,14.0,28.0,131
3,0.001,466.2823836803436,1348,False,14.0,14.0,381
3,0.01,102.82573580741882,60,False,14.0,0.0,509
2,0.0001,137.0816469192505,472,False,14.0,21.0,194
2,0.0001,108.1455979347229,1319,True,14.0,14.0,540
3,0.01,205.98638200759888,1240,False,14.0,14.0,561
2,0.0001,121.89235925674438,862,True,14.0,14.0,601
3,0.01,170.10005688667297,1098,False,14.0,14.0,373
1,0.0001,34.78369379043579,1625,True,14.0,14.0,292
1,0.01,21.43616485595703,1213,True,14.0,14.0,260
2,0.01,105.5066659450531,1623,True,14.0,21.0,311
1,0.001,28.931278944015503,276,False,14.0,14.0,169
2,0.01,57.2913818359375,129,False,14.0,14.0,192
3,0.0001,297.27883076667786,977,True,14.0,14.0,408
3,0.01,501.58675384521484,2429,True,14.0,14.0,445
3,0.001,226.2847547531128,670,True,14.0,14.0,322
3,0.001,279.5312042236328,640,False,14.0,14.0,260
2,0.001,308.5715081691742,1929,True,14.0,14.0,1843
2,0.01,53.15929698944092,488,False,14.0,7.0,153
2,0.001,226.25205898284912,2063,True,14.0,21.0,414
1,0.01,15.313133955001831,733,True,14.0,14.0,160
1,0.001,45.49489212036133,920,True,14.0,14.0,585
1,0.0001,27.1246120929718,527,False,14.0,28.0,176
2,0.0001,125.29902577400208,1651,True,14.0,21.0,299
1,0.0001,30.134494066238403,184,False,14.0,14.0,158
3,0.0001,534.1130607128143,945,True,14.0,14.0,577
1,0.01,33.751530170440674,396,False,14.0,0.0,181
1,0.0001,31.189394235610962,1599,True,14.0,14.0,311
1,0.001,33.46981191635132,149,False,14.0,14.0,280
2,0.01,80.94025611877441,864,True,14.0,14.0,488
3,0.01,96.18862295150757,518,True,14.0,14.0,214
1,0.001,35.27285814285278,857,True,14.0,14.0,636
3,0.0001,242.70465087890625,1675,True,14.0,21.0,322
3,0.001,473.67182636260986,2297,True,14.0,21.0,405
1,0.0001,28.26180601119995,857,True,14.0,14.0,612
3,0.001,293.2300591468811,356,False,14.0,14.0,200
2,0.0001,174.95638489723206,866,True,14.0,14.0,473
2,0.01,94.726322889328,85,False,14.0,28.0,171
2,0.0001,197.3193747997284,912,True,14.0,14.0,502
2,0.001,224.03535318374634,254,False,14.0,0.0,285
1,0.0001,42.33362317085266,158,False,14.0,14.0,216
2,0.0001,157.59680891036987,6319,True,14.0,14.0,6317
3,0.0001,431.43851923942566,485,True,14.0,14.0,222
3,0.001,100.84978604316711,448,True,14.0,14.0,141
1,0.01,23.832233905792236,246,False,14.0,28.0,207
2,0.001,238.88785600662231,564,True,14.0,14.0,134
2,0.0001,148.23696613311768,96,False,14.0,14.0,165
2,0.01,53.35741710662842,99,False,14.0,14.0,167
2,0.01,99.19480323791504,788,True,14.0,14.0,590
3,0.001,209.53746104240417,2197,True,14.0,21.0,440
1,0.01,45.78294897079468,188,False,14.0,7.0,122
2,0.01,101.11095213890076,644,True,14.0,14.0,512
2,0.001,128.96343231201172,298,False,14.0,14.0,493
1,0.01,31.02087092399597,253,False,14.0,0.0,106
3,0.01,81.67794489860535,199,False,14.0,14.0,273
3,0.0001,217.7072880268097,442,False,14.0,21.0,238
1,0.0001,32.6122670173645,874,True,14.0,14.0,554
2,0.001,183.82196402549744,2130,True,14.0,21.0,387
1,0.0001,28.373655080795288,1735,True,14.0,21.0,351
2,0.01,38.273614168167114,292,False,14.0,14.0,176
2,0.001,229.84998297691345,380,False,14.0,28.0,164
2,0.001,135.6308560371399,1515,True,14.0,14.0,287
2,0.001,131.7205970287323,594,True,14.0,14.0,145
3,0.01,192.07056307792664,650,True,14.0,14.0,222
1,0.001,24.693843126296997,112,False,14.0,14.0,335
1,0.01,33.168394804000854,156,False,14.0,14.0,165
1,0.01,30.352900743484497,2136,True,14.0,21.0,388
3,0.01,90.47403120994568,339,False,14.0,7.0,145
3,0.0001,449.70433712005615,585,True,14.0,14.0,361
2,0.01,91.41162610054016,550,False,14.0,28.0,217
1,0.001,27.80453896522522,808,True,14.0,21.0,218
3,0.0001,680.4113199710846,797,False,14.0,14.0,348
1,0.0001,54.391226053237915,823,True,14.0,14.0,514
1,0.001,30.35515594482422,169,False,14.0,70.0,69
2,0.0001,212.56213974952698,752,True,14.0,14.0,179
1,0.001,39.51708698272705,1579,True,14.0,21.0,286
3,0.01,119.33863306045532,233,False,14.0,0.0,202
2,0.001,246.637375831604,554,True,14.0,14.0,382
2,0.01,43.071345806121826,100,False,14.0,0.0,1019
2,0.01,82.45592498779297,354,False,14.0,7.0,152
1,0.001,48.78475284576416,576,False,14.0,28.0,175
1,0.001,39.074673891067505,815,True,14.0,14.0,492
3,0.0001,562.5990099906921,2216,True,14.0,21.0,421
1,0.001,28.288778066635132,177,False,14.0,0.0,107
1,0.001,27.87258505821228,607,True,14.0,14.0,416
2,0.0001,125.52304410934448,299,False,14.0,14.0,168
1,0.001,28.93007493019104,223,False,14.0,14.0,99
2,0.01,85.90019297599792,441,False,14.0,70.0,208
2,0.001,86.06036496162415,220,False,14.0,7.0,165
2,0.01,91.50160312652588,1753,True,14.0,14.0,361
1,0.0001,41.57664394378662,2064,True,14.0,21.0,378
2,0.0001,148.65819883346558,1434,False,14.0,14.0,361
3,0.001,180.20902705192566,573,False,14.0,28.0,274
1,0.001,28.576948165893555,1272,True,14.0,21.0,257
3,0.001,226.8701400756836,140,False,14.0,14.0,163
2,0.001,160.26697492599487,1835,True,14.0,21.0,360
