steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
3,0.01,5053,804,184.27458095550537,True,False
1,0.001,1989,1413,20.777514934539795,True,False
1,0.01,1989,1468,14.863389015197754,True,False
2,0.001,627,1591,48.369746923446655,False,True
3,0.01,4468,737,197.7346920967102,True,False
3,0.01,2126,1503,70.3240237236023,True,False
2,0.01,1177,3227,45.329564809799194,True,False
3,0.0001,1958,1979,273.8712582588196,False,True
3,0.01,1788,2117,71.8989040851593,True,False
2,0.01,2445,611,47.287965059280396,True,False
1,0.0001,421,3316,22.9322669506073,False,True
1,0.001,2011,1478,22.8302640914917,True,False
2,0.0001,1076,1862,91.9163658618927,False,True
1,0.0001,188,4272,25.522897005081177,False,True
1,0.0001,1324,2635,29.50065588951111,True,False
2,0.0001,2149,1244,94.75436305999756,True,False
2,0.001,1663,1837,90.98137402534485,False,True
3,0.0001,3524,1300,215.37461924552917,True,False
1,0.0001,2006,1452,24.709858179092407,True,False
1,0.001,404,3236,15.00545883178711,False,True
3,0.0001,3432,2121,320.6104242801666,True,False
3,0.01,3072,1969,114.83964896202087,True,False
2,0.0001,3222,964,124.76293683052063,True,False
2,0.0001,1462,2567,62.959677934646606,True,False
1,0.001,1986,1371,30.328355073928833,True,False
3,0.0001,4654,685,300.9238667488098,True,False
3,0.001,4565,1112,451.6215100288391,True,False
1,0.0001,2008,1406,30.38368320465088,True,False
3,0.0001,4550,946,175.46307611465454,True,False
3,0.01,2138,1254,105.95214796066284,True,False
2,0.0001,743,2509,84.51056003570557,False,True
2,0.0001,3595,688,66.05149793624878,True,False
2,0.01,4842,808,78.01821804046631,True,False
1,0.0001,2010,1443,24.39877200126648,True,False
2,0.001,666,2433,132.08042693138123,False,True
3,0.001,2249,1384,143.72293281555176,False,True
2,0.01,638,2616,47.49258065223694,False,False
1,0.01,1107,3187,13.84079909324646,True,False
2,0.001,1640,3251,50.66288495063782,True,False
1,0.01,1366,2610,11.717342853546143,True,False
3,0.001,4952,838,333.11662697792053,True,False
1,0.01,1323,2633,11.345608949661255,False,True
1,0.01,2020,1425,19.792757034301758,True,False
3,0.001,3690,433,343.7934138774872,True,False
1,0.001,192,4362,14.536159038543701,False,True
3,0.0001,475,1215,304.28864216804504,False,False
2,0.0001,3577,581,88.57484078407288,True,False
