steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
1,0.0001,1253,2917,30.509214878082275,False,False
3,0.0001,3374,847,165.0241551399231,False,False
3,0.0001,3580,775,348.1592130661011,True,False
2,0.01,2734,1501,38.443204164505005,False,False
1,0.01,1250,2979,11.005563735961914,False,False
2,0.01,2738,1377,76.25560402870178,True,False
3,0.001,2376,1637,147.38920783996582,True,False
1,0.0001,1269,2951,21.411860942840576,False,False
3,0.001,3178,866,320.8416860103607,False,False
1,0.0001,555,3256,21.66728711128235,False,False
2,0.01,549,3547,33.07061195373535,True,False
2,0.001,2731,1389,69.31772184371948,False,False
1,0.001,1203,2961,22.349348068237305,True,False
3,0.001,3377,908,160.33800077438354,False,False
3,0.001,605,3294,50.04668712615967,False,False
1,0.01,1287,2918,13.55813980102539,True,False
2,0.01,2840,1353,42.45636582374573,True,False
2,0.0001,582,3475,74.74602484703064,True,False
1,0.0001,587,3351,26.514270067214966,False,False
3,0.0001,3265,983,176.38109612464905,False,False
1,0.001,620,3221,14.886990070343018,True,False
1,0.0001,1247,2967,28.05741596221924,True,False
2,0.01,2169,1924,29.126438856124878,False,False
3,0.001,2956,1040,109.4948480129242,True,False
3,0.0001,3655,693,130.67230582237244,False,False
2,0.01,2890,1426,34.11605715751648,True,False
2,0.01,2237,1855,39.57385873794556,True,False
3,0.0001,3219,1012,216.08739805221558,False,True
2,0.01,2753,1408,46.73979187011719,False,False
1,0.01,1283,2990,11.373291015625,True,False
3,0.0001,3592,710,197.3512828350067,False,False
1,0.0001,1207,2947,23.180981159210205,False,False
2,0.001,2799,1429,104.94932174682617,True,False
1,0.001,1208,3015,13.310102939605713,False,True
2,0.0001,2674,1474,57.55483102798462,False,False
2,0.01,2690,1490,53.0658278465271,False,False
2,0.0001,2164,1817,109.69707798957825,False,False
3,0.0001,3352,984,282.6231999397278,False,True
3,0.0001,404,3815,89.69900584220886,True,False
3,0.01,3048,910,119.19045615196228,True,False
1,0.0001,606,3243,28.270543098449707,False,False
3,0.01,2942,1342,98.39082384109497,False,False
1,0.01,1239,2935,11.135304927825928,False,True
