starting_node,initial_state,steps,tol,time,optimal_cost,forest_cost,best_sol_prob
1,all,2,0.001,260.2894251346588,10.649198965692593,11.188157262939088,3676
2,all,2,0.001,666.7789576053619,3.904757735227394,4.438591912953773,5966
0,all,2,0.001,564.97900390625,15.593134960547946,15.593134960547946,6131
0,all,2,0.001,262.0844268798828,14.457952891327857,14.457952891327857,6367
0,all,2,0.001,1622.1921918392181,13.188898187908645,13.188898187908645,3926
3,all,2,0.001,415.853718996048,12.469461972939659,12.469461972939659,6035
2,all,2,0.001,396.3912560939789,12.060695745949518,12.060695745949518,6338
3,all,2,0.001,465.87626481056213,13.583094526135948,14.848257129246406,5479
2,all,2,0.001,476.8400797843933,8.119833577442805,8.119833577442805,6614
0,all,2,0.001,585.8323700428009,10.451358432817521,10.451358432817521,5327
1,all,2,0.001,397.79047989845276,18.188963776794466,18.334518879155905,3766
1,all,2,0.001,316.6730229854584,12.248534607622457,12.248534607622457,4756
3,all,2,0.001,272.3221299648285,8.057144777517223,8.057144777517223,5144
1,all,2,0.001,495.783212184906,8.176364052644095,8.176364052644095,3873
0,all,2,0.001,302.200660943985,8.040757441390149,8.040757441390149,5859
3,all,2,0.001,410.2979700565338,14.05572903846766,14.05572903846766,5276
0,all,2,0.001,454.9572060108185,5.556429293680158,5.556429293680158,8768
3,all,2,0.001,388.1081190109253,6.955637475871786,6.955637475871786,8021
3,all,2,0.001,296.60788583755493,10.591833665015578,10.591833665015578,5035
1,all,2,0.001,240.4942331314087,12.708498948897384,14.620335385105255,5322
1,all,2,0.001,360.03937005996704,14.440949502258771,18.905117246292008,8304
1,all,2,0.001,434.3006229400635,13.567673914819782,13.900612918605216,4811
3,all,2,0.001,203.35425114631653,12.922146179458757,14.118245479485962,3519
1,all,2,0.001,282.5152699947357,6.283067999562963,6.283067999562963,3790
2,all,2,0.001,229.62325406074524,14.856877506624631,15.499940927293093,4362
2,all,2,0.001,224.59454107284546,6.427141043040107,6.427141043040107,6329
1,all,2,0.001,548.6240878105164,13.44633936986282,13.44633936986282,6940
3,all,2,0.001,392.2504470348358,15.595385229154545,15.595385229154545,3580
2,all,2,0.001,368.03676104545593,15.68564568971514,15.68564568971514,7428
2,all,2,0.001,623.397791147232,4.0104248083915595,4.17419621048772,5193
1,all,2,0.001,677.7656199932098,16.052018695478644,16.052018695478644,5387
0,all,2,0.001,486.622371673584,6.814914697556347,6.814914697556347,6799
1,all,2,0.001,322.0205948352814,8.953882193883523,9.295967991962474,3763
2,all,2,0.001,379.7647080421448,14.039618231077068,16.047749085129528,5696
3,all,2,0.001,390.20235109329224,14.86419692850933,16.22226852261618,8403
2,all,2,0.001,373.88086199760437,12.091204147538795,12.091204147538795,5712
2,all,2,0.001,246.7801868915558,12.545865387114276,12.545865387114276,3776
0,all,2,0.001,288.28277921676636,15.951754966037704,16.179159258539784,4643
1,all,2,0.001,227.44730234146118,17.438214498787925,17.438214498787925,5054
2,all,2,0.001,316.69313406944275,15.393856304274891,15.393856304274891,5829
3,all,2,0.001,283.32371187210083,14.70276323718539,14.70276323718539,7160
1,all,2,0.001,300.31807804107666,13.26365714693511,13.26365714693511,6362
2,all,2,0.001,229.25534224510193,12.25893540506223,14.761137499019553,4549
0,all,2,0.001,264.6806318759918,13.219523499003648,13.219523499003648,5283
2,all,2,0.001,351.30394196510315,14.882297932412408,14.882297932412408,5521
1,all,2,0.001,371.2269628047943,7.840497915590621,7.840497915590621,7851
3,all,2,0.001,212.03788709640503,14.550895619615416,14.550895619615416,6718
2,all,2,0.001,436.5778760910034,8.17858246388696,8.17858246388696,5522
1,all,2,0.001,303.31517219543457,7.198346137670362,8.442569494161175,3782
0,all,2,0.001,481.2220892906189,12.838262394393645,12.838262394393645,3916
0,all,2,0.001,561.0744731426239,14.595846847372652,14.595846847372652,5845
1,all,2,0.001,603.8446350097656,13.558746744990792,14.595074465278726,3845
2,all,2,0.001,486.7419579029083,9.30238468371561,9.30238468371561,7187
2,all,2,0.001,339.41150283813477,13.656476270425589,13.656476270425589,3849
3,all,2,0.001,219.46219110488892,7.5103898960031525,7.5103898960031525,7329
2,all,2,0.001,552.2420380115509,13.22270522676176,13.22270522676176,3984
3,all,2,0.001,305.0691719055176,7.313990483462371,7.331686085776849,5584
0,all,2,0.001,440.3709750175476,9.85342505945912,9.85342505945912,7814
2,all,2,0.001,477.5770707130432,12.228105284483082,12.228105284483082,6885
2,all,2,0.001,438.7157061100006,13.220671240525776,13.443390835348852,7873
2,all,2,0.001,422.93596601486206,4.504369071785198,4.504369071785198,6947
0,all,2,0.001,229.31464195251465,9.855401295632745,9.855401295632745,6357
3,all,2,0.001,363.65426898002625,14.357551682544512,14.357551682544512,6709
2,all,2,0.001,262.13037300109863,12.483267423851235,12.483267423851235,7451
0,all,2,0.001,574.1293148994446,16.3603051789507,16.658667852592778,5243
1,all,2,0.001,252.27356219291687,8.361717131532863,8.361717131532863,5616
2,all,2,0.001,432.5687589645386,12.990979487057803,12.990979487057803,5880
3,all,2,0.001,600.5294301509857,5.327823617627817,5.327823617627817,7938
1,all,2,0.001,859.6310567855835,5.146501899234016,6.3244345086295635,5925
0,all,2,0.001,633.6960368156433,12.503354337167208,14.32986035998783,4190
2,all,2,0.001,438.85751509666443,11.828838547574275,11.828838547574275,5627
